GSM;SRX;SRR;Cell;Target;Method;Group
GSM922786;SRX144714;SRR491374;HeLaS3;input;ChIP-Seq;0
GSM922790;SRX144718;SRR491378;HeLaS3;Orc1;ChIP-Seq;0
GSM2863238;DRX013513;DRR015019;HeLa;input;ChIP-Seq;1
GSM2863239;DRX013514;DRR015020;HeLa;MCM7;ChIP-Seq;1
GSM2863240;DRX087443;DRR093947;HeLa;input;ChIP-Seq;2
GSM2863241;DRX087444;DRR093948;HeLa;MCM7;ChIP-Seq;2
GSM3634196;SRX5457202;SRR8660014;K562;MCM7;ChIP-Seq;3
GSM3634197;SRX5457203;SRR8660015;K562;MCM7;ChIP-Seq;4
GSM1717888;SRX1070427;SRR2075393;K562;Orc2;ChIP-Seq;5
GSM1717889;SRX1070428;SRR2075394;K562;Orc2;ChIP-Seq;6
GSM3676405;SRX5537408;SRR8745381;ImM1;;SNS-seq;
GSM3676406;SRX5537409;SRR8745382;ImM1;;SNS-seq;
GSM3676407;SRX5537410;SRR8745383;ImM1;;SNS-seq;
GSM3676408;SRX5537411;SRR8745384;ImM1;;SNS-seq;
GSM3676409;SRX5537412;SRR8745385;ImM1;;SNS-seq;
GSM3676410;SRX5537413;SRR8745386;ImM1;control;SNS-seq;
GSM3676411;SRX5537414;SRR8745387;hESC;;SNS-seq;
GSM3676412;SRX5537415;SRR8745388;hESC;;SNS-seq;
GSM3676413;SRX5537416;SRR8745389;hESC;control;SNS-seq;
GSM3676414;SRX5537417;SRR8745390;ImM2;;SNS-seq;
GSM3676415;SRX5537418;SRR8745391;ImM2;;SNS-seq;
GSM3676416;SRX5537419;SRR8745392;ImM2;;SNS-seq;
GSM3676417;SRX5537420;SRR8745393;ImM2;control;SNS-seq;
GSM3676418;SRX5537421;SRR8745394;ImM3;;SNS-seq;
GSM3676419;SRX5537422;SRR8745395;ImM3;;SNS-seq;
GSM3676420;SRX5537423;SRR8745396;ImM3;;SNS-seq;
GSM3676421;SRX5537424;SRR8745397;ImM3;;SNS-seq;
GSM3676422;SRX5537425;SRR8745398;ImM3;control;SNS-seq;
GSM3676423;SRX5537426;SRR8745399;HC;;SNS-seq;
GSM3676424;SRX5537427;SRR8745400;HC;;SNS-seq;
GSM3676425;SRX5537428;SRR8745401;HC;;SNS-seq;
GSM3676426;SRX5537429;SRR8745402;HC;;SNS-seq;
GSM3676427;SRX5537430;SRR8745403;HC;;SNS-seq;
GSM3676428;SRX5537431;SRR8745404;HC;;SNS-seq;
GSM3676429;SRX5537432;SRR8745405;HC;;SNS-seq;
GSM3676430;SRX5537433;SRR8745406;HC;;SNS-seq;
GSM3676431;SRX5537434;SRR8745407;HC;;SNS-seq;
GSM3676432;SRX5537435;SRR8745408;HC;;SNS-seq;
GSM3676433;SRX5537436;SRR8745409;HC;;SNS-seq;
GSM3676434;SRX5537437;SRR8745410;HC;;SNS-seq;
GSM3676435;SRX5537438;SRR8745411;HMEC;;SNS-seq;
GSM3676436;SRX5537439;SRR8745412;HMEC;;SNS-seq;
GSM3676437;SRX5537440;SRR8745413;HMEC;;SNS-seq;
GSM3676438;SRX5537441;SRR8745414;HMEC;control;SNS-seq;
GSM3676439;SRX5537442;SRR8745415;HC;;SNS-seq;
GSM3676440;SRX5537443;SRR8745416;HC;;SNS-seq;
GSM3676441;SRX5537444;SRR8745417;HC;;SNS-seq;
GSM3676442;SRX5537445;SRR8745418;HC;;SNS-seq;
GSM3676443;SRX5537446;SRR8745419;HC;;SNS-seq;
GSM3676444;SRX5537447;SRR8745420;HC;;SNS-seq;
GSM3676445;SRX5537448;SRR8745421;HC;;SNS-seq;
GSM3676446;SRX5537449;SRR8745422;HC;;SNS-seq;
GSM3676447;SRX5537450;SRR8745423;HC;;SNS-seq;
GSM3676448;SRX5537451;SRR8745424;HC;;SNS-seq;
GSM1125956;SRX268444;SRR830646;K562;;SNS-seq;
GSM1125957;SRX268445;SRR830647;K562;;SNS-seq;
GSM1125958;SRX268446;SRR830648;K562;;SNS-seq;
GSM1125959;SRX268447;SRR830649;K562;;SNS-seq;
GSM1125960;SRX268448;SRR830650;K562;;SNS-seq;
GSM716435;SRX059276;SRR190808;K562;;SNS-seq;
GSM716435;SRX059276;SRR190809;K562;;SNS-seq;
GSM716435;SRX059276;SRR190810;K562;;SNS-seq;
GSM716435;SRX059276;SRR190811;K562;;SNS-seq;
GSM716436;SRX059277;SRR190812;K562;control;SNS-seq;
GSM716436;SRX059277;SRR190813;K562;control;SNS-seq;
GSM716437;SRX059278;SRR190814;MCF7;;SNS-seq;
GSM716437;SRX059278;SRR190815;MCF7;;SNS-seq;
GSM716437;SRX059278;SRR190816;MCF7;;SNS-seq;
GSM716437;SRX059278;SRR190817;MCF7;;SNS-seq;
GSM716437;SRX059278;SRR190818;MCF7;;SNS-seq;
GSM716437;SRX059278;SRR190819;MCF7;;SNS-seq;
GSM716437;SRX059278;SRR190820;MCF7;;SNS-seq;
GSM716437;SRX059278;SRR190821;MCF7;;SNS-seq;
GSM716438;SRX059279;SRR190822;MCF7;control;SNS-seq;
GSM716438;SRX059279;SRR190823;MCF7;control;SNS-seq;
GSM1648749;SRX976798;SRR1950536;HCT116;;SNS-seq;
GSM1648749;SRX976798;SRR1950537;HCT116;;SNS-seq;
GSM1648749;SRX976798;SRR1950538;HCT116;;SNS-seq;
GSM1648749;SRX976798;SRR1950539;HCT116;;SNS-seq;
GSM1648749;SRX976798;SRR1950540;HCT116;;SNS-seq;
GSM1648750;SRX976799;SRR1950541;HCT116;control;SNS-seq;
